rowid,mibig_accession,organism_name,ncbi_tax_id,smiles,inchikey,no_stereo_inchikey,compound_name,molecular_formula
736,BGC0001381,Nocardia terpenica,455432,[H][C@@]12O[C@@]1([H])[C@H](C)[C@H](OC(=O)\C=C\C[C@H](O)C[C@H](O)C[C@@H](O)CC[C@@H](C)[C@H](O)C[C@]1(O)O[C@@]([H])(C[C@H](O)[C@H]1O)C[C@@H](O)C[C@H](O)CCC[C@@H]2O)[C@@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)O[C@H]1C[C@H](O)[C@H](O)[C@H](C)O1,GCFWHLMSTULBNF-WRVUTUOTSA-N,GCFWHLMSTULBNF,brasilinolide C,C49H88O20
737,BGC0001593,Streptomyces ficellus,1977088,CC(C)C(C(=O)NC(C1CC(C2N1C2)N=C(N)N)C(=O)O)N,DGIHWRUPUISVIZ-UHFFFAOYSA-N,DGIHWRUPUISVIZ,ficellomycin,C13H24N6O3
738,BGC0000705,Streptomyces kanamyceticus,1967,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N,SBUJHOSQTJFQJX-NOAMYHISSA-N,SBUJHOSQTJFQJX,kanamycin,C18H36N4O11
739,BGC0000860,Methylarcula marina,72022,CC1=NCC[C@H](N1)C(=O)O,WQXNXVUDBPYKBA-YFKPBYRVSA-N,WQXNXVUDBPYKBA,ectoine,C6H10N2O2
740,BGC0001153,Paenibacillus polymyxa,1406,CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)[C@@H](C)O,WQVJHHACXVLGBL-NARAKGNPSA-N,WQVJHHACXVLGBL,polymyxin B,C56H98N16O13
741,BGC0000772,Brucella melitensis,29459,CCCCCCCCCCCCCCCC1[C@H](OC([C@H]([C@@H]1OC(=O)CC(CCCCCCCCCCC)O)O)CO[C@H]2[C@H](C([C@@H](C(O2)CO[C@@]3(CC([C@H](C(O3)C(CO)O)O[C@H]4[C@@H](C([C@@H](C(O4)C(CO)O)OP(=O)(O)OP(=O)(O)OCCN)O[C@@H]5[C@@H](C([C@@H](C(O5)C(CO[C@@H]6[C@@H](C([C@](CO6)(C(CO)O)O)O)O)O)OP(=O)(O)O)O[C@@H]7C(C([C@@H](C(O7)CO[C@@H]8C(C([C@H](C(O8)CO)O)O)O)O)O[C@@H]9C(C([C@H](C(O9)CO)O)O)O[C@@H]1C(C([C@@H](C(O1)CO)O[C@@H]1C(C([C@H](C(O1)CO)O)OC1[C@@H](C(C([C@@H](O1)C)O[C@@H]1C(C([C@@H](C(O1)CO)O)O[C@@H]1C(C[C@H](C(O1)C)O)O)O[C@@H]1C(C([C@H](C(O1)CO)O)O)O)O)O)O)O)O[C@@H]1[C@H](C([C@@H](C(O1)CO)O)O)NC(=O)C)O)O)O)O[C@@]1(CC([C@H](C(O1)C(CO)O)O)O[C@@]1(CC([C@H](C(O1)C(CO)O)O)O)C(=O)O)C(=O)O)C(=O)O)OP(=O)(O)O)OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)CP(=O)(O)O,YPXVSQSYDIMPDZ-AUUHBOKRSA-N,YPXVSQSYDIMPDZ,lipopolysaccharide,C205H366N3O117P5
742,BGC0001151,Streptomyces antibioticus,1890,CC(C)C(C(=O)NC(C(CC1CN2C(O1)CC2=O)O)C(=O)O)N,YCGXMNQNHBKSKZ-UHFFFAOYSA-N,YCGXMNQNHBKSKZ,valclavam,C14H23N3O6
743,BGC0001151,Streptomyces antibioticus,1890,OCC[C@H]1CN2[C@H](CC2=O)O1,UEGDICIJUUEIOL-FSPLSTOPSA-N,UEGDICIJUUEIOL,(-)-2-(2-hydroxyethyl)clavam,C7H11NO3
744,BGC0001273,Aspergillus ochraceus,40380,C[C@H]1[C@@H](O1)C2=C[C@@H](OC2=O)[C@H](C)O,VMLNPJDEXLLCQG-DGCAKLBHSA-N,VMLNPJDEXLLCQG,asperlactone,C9H12O4
745,BGC0000915,Streptomyces lavendulae,1914,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,NWIBSHFKIJFRCO,mitomycin,C15H18N4O5
746,BGC0000976,Moorea producens 3L,489825,CO[C@H](CC\C(C)=C\C=C\CC\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C,LUEYTMPPCOCKBX-RLAAQAFRSA-N,LUEYTMPPCOCKBX,curacin A,C23H35NOS
747,BGC0001425,Myxococcus xanthus DK 1622,246197,CN([C@H]1[C@@H](C)OC(=O)CC[C@H](NC(=O)[C@H](NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC1=O)C)C)C(=O)N)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C,NDLATPRQLJTXJX-OBQOMHFNSA-N,NDLATPRQLJTXJX,myxochromide A,C45H63N7O9
748,BGC0000800,Xanthomonas campestris,339,C/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/COP(=O)([O-])OP(=O)([O-])O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)[O-])O[C@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O)O,KLZCREFEFYCDEX-BNSVXKHESA-K,KLZCREFEFYCDEX,xanthan,C85H137O33P2-3
749,BGC0000677,Streptomyces melanosporofaciens,67327,CC(C)C\1CCC2(/C1=C\CC(C3C(CC(C3C2)CO)O)(C)O)C,MSKFOQCDNOFJAT-SOFYXZRVSA-N,MSKFOQCDNOFJAT,cyclooctatin,C20H34O3
750,BGC0000396,Nostoc sp. 73.1,707671,CO[C@@H](CC1=CC=CC=C1)[C@@H](C)\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](C)[C@@H](NC(=O)\C(=C\C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(O)=O)C(O)=O,IXBQSRWSVIBXNC-HSKGSTCASA-N,IXBQSRWSVIBXNC,nodularin,C41H60N8O10
751,BGC0000320,Bacillus cereus,1396,CC(C)C[C@H]1OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@@H](C)NC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,JWWAHGUHYLWQCQ-UHZBFKKDSA-N,JWWAHGUHYLWQCQ,cereulide,C57H96N6O18
752,BGC0001668,Aspergillus nidulans FGSC A4,227321,OC1OC(=O)C(=C1CC1=CC=CC=C1)C1=CC=CC=C1,MFURXTOJWOOSEM-UHFFFAOYSA-N,MFURXTOJWOOSEM,EQ-4,C17H14O3
753,BGC0001357,Nostoc sp. CAVN2,1510471,C[C@H]1CCCCC(CCCC(Cl)Cl)C2=C(O)C=C(C=C2O)[C@H](OC(N)=O)[C@@H](C)CCCCC(CCCC(Cl)Cl)C2=C(O)C=C(C=C2O)[C@@H]1OC(N)=O,KQQDTKLGLAIGOF-TXPPAELQSA-N,KQQDTKLGLAIGOF,carbamidocyclophane A,C38H54Cl4N2O8
754,BGC0001357,Nostoc sp. CAVN2,1510471,C[C@H]1CCCCC(CCCCCl)C2=C(O)C=C(C=C2O)[C@H](OC(N)=O)[C@@H](C)CCCCC(CCCC(Cl)Cl)C2=C(O)C=C(C=C2O)[C@@H]1OC(N)=O,PXEFELGJKKNAPC-BSSQUUOISA-N,PXEFELGJKKNAPC,carbamidocyclophane B,C38H55Cl3N2O8
755,BGC0001357,Nostoc sp. CAVN2,1510471,CCCCC1CCCC[C@H](C)[C@@H](OC(N)=O)C2=CC(O)=C(C(CCCC(Cl)Cl)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,GTNWJJTZQLWLEN-BSSQUUOISA-N,GTNWJJTZQLWLEN,carbamidocyclophane C,C38H56Cl2N2O8
756,BGC0001357,Nostoc sp. CAVN2,1510471,CCCCC1CCCC[C@H](C)[C@@H](OC(N)=O)C2=CC(O)=C(C(CCCCCl)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,YSZWKXRRCFZDNI-MJVHAFATSA-N,YSZWKXRRCFZDNI,carbamidocyclophane D,C38H57ClN2O8
757,BGC0001357,Nostoc sp. CAVN2,1510471,CCCCC1CCCC[C@H](C)[C@@H](OC(N)=O)C2=CC(O)=C(C(CCCC)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,MMNOSSIKVRRNRZ-MJVHAFATSA-N,MMNOSSIKVRRNRZ,carbamidocyclophane E,C38H58N2O8
758,BGC0001357,Nostoc sp. CAVN2,1510471,C[C@H]1CCCC[C@H](CCCC(Cl)Cl)C2=C(O)C=C(C=C2O)[C@H](OC(N)=O)[C@@H](C)CCCC[C@H](CCCC(Cl)Cl)C2=C(O)C=C(C=C2O)[C@@H]1O,LOIXDLJXZACZEY-PLKRWIMUSA-N,LOIXDLJXZACZEY,carbamidocyclophane F,C37H53Cl4NO7
759,BGC0001357,Nostoc sp. CAVN2,1510471,[H]C([H])CCC[C@H]1CCCC[C@H](C)[C@@H](OC(N)=O)C2=CC(O)=C([C@@H](CCCC([H])[H])CCCC[C@H](C)[C@@H](O)C3=CC(O)=C1C(O)=C3)C(O)=C2,ZVBSXPFOVLVNGT-WDCWCBICSA-N,ZVBSXPFOVLVNGT,carbamidocyclophane H,C37H57NO7
760,BGC0001357,Nostoc sp. CAVN2,1510471,[H]C([H])CCC[C@H]1CCCC[C@H](C)[C@@H](OC(N)=O)C2=CC(O)=C([C@@H](CCCC([H])Br)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,GMONSDQGAGUQRU-YXTQZPCGSA-N,GMONSDQGAGUQRU,carbamidocyclophane M,C38H57BrN2O8
761,BGC0001357,Nostoc sp. CAVN2,1510471,[H]C(Br)CCC[C@H]1CCCC[C@H](C)[C@@H](OC(N)=O)C2=CC(O)=C([C@@H](CCCC([H])Br)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,WRARFMLYIOUCLD-LHTGRSOQSA-N,WRARFMLYIOUCLD,carbamidocyclophane N,C38H56Br2N2O8
762,BGC0001357,Nostoc sp. CAVN2,1510471,[H]C([H])CCC[C@H]1CCCC[C@H](C)[C@@H](OC(N)=O)C2=CC(O)=C([C@@H](CCCC(Br)Br)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,FVWPSKYVDXFOTC-CCNIBDGSSA-N,FVWPSKYVDXFOTC,carbamidocyclophane O,C38H56Br2N2O8
763,BGC0001357,Nostoc sp. CAVN2,1510471,[H]C(Br)CCC[C@H]1CCCC[C@H](C)[C@@H](OC(N)=O)C2=CC(O)=C([C@@H](CCCC(Br)Br)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,CXYLXULFSYHSRC-IULTZZOBSA-N,CXYLXULFSYHSRC,carbamidocyclophane P,C38H55Br3N2O8
764,BGC0001357,Nostoc sp. CAVN2,1510471,C[C@H]1CCCC[C@H](CCCC(Br)Br)C2=C(O)C=C(C=C2O)[C@H](OC(N)=O)[C@@H](C)CCCC[C@H](CCCC(Br)Br)C2=C(O)C=C(C=C2O)[C@@H]1OC(N)=O,OHWUDMVJYPQYDU-PLKRWIMUSA-N,OHWUDMVJYPQYDU,carbamidocyclophane Q,C38H54Br4N2O8
765,BGC0001357,Nostoc sp. CAVN2,1510471,[H]C([H])CCC[C@H]1CCCC[C@H](C)[C@@H](O)C2=CC(O)=C([C@@H](CCCC([H])Br)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,ABRCNJSDUYUPRX-YXTQZPCGSA-N,ABRCNJSDUYUPRX,carbamidocyclophane R,C37H56BrNO7
766,BGC0001357,Nostoc sp. CAVN2,1510471,[H]C([H])CCC[C@H]1CCCC[C@H](C)[C@@H](O)C2=CC(O)=C([C@@H](CCCC(Br)Br)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,LVFPFIWBRYXLNE-CCNIBDGSSA-N,LVFPFIWBRYXLNE,carbamidocyclophane S,C37H55Br2NO7
767,BGC0001357,Nostoc sp. CAVN2,1510471,[H]C(Br)CCC[C@H]1CCCC[C@H](C)[C@@H](O)C2=CC(O)=C([C@@H](CCCC(Br)Br)CCCC[C@H](C)[C@@H](OC(N)=O)C3=CC(O)=C1C(O)=C3)C(O)=C2,RSYMSFYFRRTHOX-IULTZZOBSA-N,RSYMSFYFRRTHOX,carbamidocyclophane T,C37H54Br3NO7
768,BGC0001357,Nostoc sp. CAVN2,1510471,C[C@H]1CCCC[C@H](CCCC(Br)Br)C2=C(O)C=C(C=C2O)[C@H](OC(N)=O)[C@@H](C)CCCC[C@H](CCCC(Br)Br)C2=C(O)C=C(C=C2O)[C@@H]1O,IUDYVLGONCYFPN-PLKRWIMUSA-N,IUDYVLGONCYFPN,carbamidocyclophane U,C37H53Br4NO7
769,BGC0001252,Alternaria alternata,5599,C/C=C(\C)/[C@H]([C@@H](C)/C=C/[C@H]([C@@H](C)[C@H](C[C@@H]1CC(=CC(=O)O1)O)O)O)O,DPLVZZAZGYXULT-FQOZNQACSA-N,DPLVZZAZGYXULT,UNII-YC2Q1O94PT,C19H30O6
770,BGC0000190,Streptomyces sp. SANK 61196,764784,C[C@H]1[C@H](O)[C@H]2CC(O)=C3C(=O)C4=C(O)C=C(O)C=C4[C@H]4C(=O)C5=C([C@@H]2[C@@]34CC2=CC(O)=CC(=O)O2)C1=C(O)C=C5O,GCGBDMCNOQTZDY-MHIUQONVSA-N,GCGBDMCNOQTZDY,A-74528,C30H24O11
771,BGC0000076,Hypomyces subiculosus,193393,CC1C/C=C\C(=O)C2C(O2)CC([C@H](C3=CC(=CC(=C3C(=O)O1)O)OC)O)O,HDZUUVQEDFZKAX-JOLUUEAESA-N,HDZUUVQEDFZKAX,hypothemycin,C19H22O8
772,BGC0000129,Aspergillus fumigatus Af293,330879,[H][C@@]12C[C@H](OC(C)=O)[C@@]3(C)OC4=C([C@H](O)[C@]3([H])[C@@]1(C)CC[C@H](OC(C)=O)[C@@]2(C)COC(C)=O)C(=O)OC(=C4)C1=CN=CC=C1,PMMQOFWSZRQWEV-RVTXXDJVSA-N,PMMQOFWSZRQWEV,pyripyropene A,C31H37NO10
773,BGC0000887,Dolichospermum circinale AWQC131C,398007,C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)N=C(N3)N)COC(=O)N)N,RPQXVSUAYFXFJA-HGRQIUPRSA-N,RPQXVSUAYFXFJA,saxitoxin,C10H17N7O4
774,BGC0000887,Dolichospermum circinale AWQC131C,398007,C1[C@H](C([C@@]23N1C(=N[C@H]([C@@H]2NC(=N3)N)COC(=O)N)N)(O)O)OS(=O)(=O)O,ARSXTTJGWGCRRR-XXKOCQOQSA-N,ARSXTTJGWGCRRR,gonyautoxin 2,C10H17N7O8S
775,BGC0000887,Dolichospermum circinale AWQC131C,398007,C1[C@@H](C([C@@]23N1C(=N[C@H]([C@@H]2NC(=N3)N)COC(=O)NS(=O)(=O)O)N)(O)O)OS(=O)(=O)O,OKSSKVHGKYJNLL-LJRZAWCWSA-N,OKSSKVHGKYJNLL,toxin C2,C10H17N7O11S2
776,BGC0000887,Dolichospermum circinale AWQC131C,398007,[H][C@@]12[C@]3(NC(N2)=[NH2+])N(C[C@@H](OS(=O)([O-])=O)C3(O)O)C(N(O)[C@H]1COC(NS(=O)([O-])=O)=O)=[NH2+],HUDHMIUZDXZZRC-XXKOCQOQSA-N,HUDHMIUZDXZZRC,toxin C3,C10H17N7O12S2
777,BGC0000887,Dolichospermum circinale AWQC131C,398007,C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)N=C(N3)N)COC(=O)NS(=O)(=O)O)N,JKKCSFJSULZNDN-HGRQIUPRSA-N,JKKCSFJSULZNDN,gonyautoxin 5,C10H17N7O7S
778,BGC0000887,Dolichospermum circinale AWQC131C,398007,C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)N=C(N3)N)CO)N,VRRIYZJUSNMZMP-PJPYAQQDSA-N,VRRIYZJUSNMZMP,decarbamoylsaxitoxin,C9H16N6O3
779,BGC0000887,Dolichospermum circinale AWQC131C,398007,[H][C@@]12[C@]3(NC(N2)=[NH2+])N(C[C@@H](OS(=O)([O-])=O)C3(O)O)C(N[C@H]1CO)=[NH2+],AJLCXXKDNUGKKH-WVBYAZCYSA-O,AJLCXXKDNUGKKH,decarbamoylgonyautoxin 2,C9H17N6O7S+
780,BGC0000887,Dolichospermum circinale AWQC131C,398007,[H][C@@]12[C@]3(NC(N2)=[NH2+])N(C[C@H](OS(=O)([O-])=O)C3(O)O)C(N[C@H]1CO)=[NH2+],AJLCXXKDNUGKKH-RGDLXGNYSA-O,AJLCXXKDNUGKKH,decarbamoylgonyautoxin 3,C9H17N6O7S+
781,BGC0000693,Bacillus circulans,1397,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O)O[C@H]2[C@@H]([C@H]([C@H](O2)CO)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)N)N,XEQLFNPSYWZPOW-SVRMBHBBSA-N,XEQLFNPSYWZPOW,butirosin A,C21H41N5O12
782,BGC0000693,Bacillus circulans,1397,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)N)N,XEQLFNPSYWZPOW-HBYCGHPUSA-N,XEQLFNPSYWZPOW,butirosin B,C21H41N5O12
783,BGC0001860,Thermobispora bispora DSM 43833,469371,O=C1C2=CSC(C3=C(C4=CSC(C5=CSC([C@@H](NC([C@H](CC6=CC=C(O)C=C6)NC(C7=CSC([C@H]([C@H](O)C8=CC=CC=C8)NC(C9=C(C)SC([C@H](CC(N)=O)N1)=N9)=O)=N7)=O)=O)[C@H](C)C%10CO%10)=N5)=N4)N=C(C%11=NC(C(NC(C(NC(C(N[C@@H](C)C(O)=O)=O)=C)=O)=C)=O)=CS%11)C=C3)=N2,LXOSXNJTQRTDJG-IKGSVZLMSA-N,LXOSXNJTQRTDJG,thiomuracin,C62H55N15O13S6
784,BGC0000229,Streptomyces lusitanus,68232,C[C@@H]1O[C@H](CC[C@@H]1O[C@H]1CCC(=O)[C@H](C)O1)O[C@@H]1[C@@H](C)O[C@H](C[C@H]1O)C1=CC=C2C(=O)C3=C(C=C[C@]4(O)C[C@](C)(CC(=O)[C@]34O)O[C@H]3CC[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)C(=O)C2=C1O,JEMVIRAQUIJOCL-XURVNGJNSA-N,JEMVIRAQUIJOCL,grincamycin,C49H62O18
785,BGC0001812,Micromonospora chalcea subsp. izumensis,2008351,CC[C@@H]1C[C@H](C(=O)/C=C/C(=C/[C@H]([C@H](OC(=O)C[C@H]([C@H]([C@H]1O)C)O)CC)C)/C)C,YJSXTLYNFBFHAT-OPSQKTBLSA-N,YJSXTLYNFBFHAT,tylactone,C23H38O5
786,BGC0001402,Talaromyces islandicus,28573,[H][C@@]12[C@H](Cl)[C@H](Cl)CN1C(=O)[C@H](CO)NC(=O)C[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC)NC2=O)C1=CC=CC=C1,PMBVHCCVEPYDSN-BADCMNFISA-N,PMBVHCCVEPYDSN,cyclochlorotine,C24H31Cl2N5O7
787,BGC0001402,Talaromyces islandicus,28573,CC(C)[C@@H]1NC(=O)[C@@H]2[C@H](Cl)[C@H](Cl)CN2C(=O)[C@H](CO)NC(=O)C[C@@H](NC(=O)[C@H](CO)NC1=O)C1=CC=CC=C1,NOXXDIHUANDBJU-LDWVWBAUSA-N,NOXXDIHUANDBJU,hydroxy-cyclochlorotine,C25H33Cl2N5O7
788,BGC0001402,Talaromyces islandicus,28573,CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)C[C@@H](NC(=O)[C@H](CO)NC1=O)C1=CC=CC=C1,JAPQCCQLPMCXRC-PJVZLEMVSA-N,JAPQCCQLPMCXRC,cyclotine,C24H33N5O7
789,BGC0001402,Talaromyces islandicus,28573,CC[C@@H]1NC(=O)[C@@H]2[C@H](Cl)CCN2C(=O)[C@H](CO)NC(=O)C[C@@H](NC(=O)[C@H](CO)NC1=O)C1=CC=CC=C1,TWLLLEZBOHPXTA-GZKCFLEVSA-N,TWLLLEZBOHPXTA,cyclochlorotine B,C24H32ClN5O7
790,BGC0001402,Talaromyces islandicus,28573,CC[C@@H]1NC(=O)[C@@H]2[C@H](Cl)[C@H](Cl)CN2C(=O)[C@H](C)NC(=O)C[C@@H](NC(=O)[C@H](CO)NC1=O)C1=CC=CC=C1,ZDWWOLCFJBJTEE-QYBQCNLOSA-N,ZDWWOLCFJBJTEE,deoxy-Cyclochlorotine,C24H31Cl2N5O6
791,BGC0000345,Streptomyces hygroscopicus,1912,CC(C)CCCCC(=O)NC(CO)C(=O)N[C@@H](CC(=C)C)C(=O)[C@]1(CO1)CO,ZPLVYYNMRMBNGE-XNKIQEMOSA-N,ZPLVYYNMRMBNGE,eponemycin,C20H34N2O6
792,BGC0001020,Streptomyces sp. NRRL 30471,996287,CO[C@@H]1[C@H](O)[C@@H](CN)O[C@H]1O[C@@H]([C@H](NCCCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)N[C@@H](C(C)C)C(O)=O)[C@@H]1CCNC(=N)N1)[C@@H](O)C(C)C)C(O)=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,GOFOFDWFFIGTML-IZAYEQDHSA-N,GOFOFDWFFIGTML,muraymycin C1,C38H63N11O17
793,BGC0001498,Xenorhabdus szentirmaii DSM 16338,1427518,CC(=O)N(CCCC[C@@H](C(=O)O)NC(=O)CC(CC(=O)N[C@@H](CCCCN(C(=O)C)O)C(=O)O)(C(=O)O)O)O,KDHHWXGBNUCREU-HOTGVXAUSA-N,KDHHWXGBNUCREU,aerobactin,C22H36N4O13
794,BGC0001455,Streptomyces argillaceus,41951,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,CBGDIJWINPWWJW-IYSWYEEDSA-N,CBGDIJWINPWWJW,antimycin,C13H14O5
795,BGC0000625,Streptomyces olivoviridis,67338,CCC(C)C1NC(=O)C(CS\C=C/NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(C)NC1=O)C(O)C1=CN(C)C=[N+]1C)NC(=O)C(C)NC(=S)C(C)NC(=S)C(C)NC(=S)C(C)NC(=S)C(CCSC)NC(=S)C(NC(=O)C(C)(O)CC(C)=O)C(C)C,TZZVQGHYMBASEV-VZCXRCSSSA-O,TZZVQGHYMBASEV,thioviridamide,C56H93N14O10S7+
796,BGC0001122,Aspergillus terreus NIH2624,341663,CC(C)C[C@H](O)[C@@H]1OC2=C(O1)C(=O)NC(C)=C2,OWGDONWQBHBJKL-QPUJVOFHSA-N,OWGDONWQBHBJKL,dihydroisoflavipucine,C12H17NO4
797,BGC0001122,Aspergillus terreus NIH2624,341663,[H]C1(OC2=C(O1)C(=O)NC(C)=C2)C(=O)CC(C)C,VALUPXXLHSBISM-UHFFFAOYSA-N,VALUPXXLHSBISM,isoflavipucine,C12H15NO4
798,BGC0001242,Fusarium fujikuroi,5127,COC1=CC(=O)C2=C(O)C3=C(CC(C)(O)OC3)C(O)=C2C1=O,FKJXMYJPOKQPSS-UHFFFAOYSA-N,FKJXMYJPOKQPSS,oxyjavanicin,C15H14O7
799,BGC0001397,Streptomyces globisporus C-1027,1172567,CC1([C@H]([C@H]([C@H]([C@@H](O1)O[C@]23C=CC=C2C#C/C/4=C\C#C[C@H]3OC5=C(C=C(C=C5Cl)[C@H](CC(=O)OC[C@@H]4OC(=O)C6=CC(=CC7=C6NC(=O)C(=C)O7)OC)N)O)O)O)N(C)C)C,DGGZCXUXASNDAC-QQNGCVSVSA-N,DGGZCXUXASNDAC,lidamycin,C43H42ClN3O13
800,BGC0001749,Pyricularia oryzae 70-15,242507,C\C=C\[C@H](O)[C@@H](O)\C=C\C1=CC=CC(O)=C1C=O,YUQDGJSYYKKISE-BUJAFJOKSA-N,YUQDGJSYYKKISE,epipyriculol,C14H16O4
801,BGC0000854,Methylomicrobium alcaliphilum 20Z,1091494,CC1=NCC[C@H](N1)C(=O)O,WQXNXVUDBPYKBA-YFKPBYRVSA-N,WQXNXVUDBPYKBA,ectoine,C6H10N2O2
802,BGC0000686,Aspergillus fumigatus Af293,330879,[H][C@@]12CC[C@@]3(C)\C([C@H](C[C@]3(C)[C@@]1(C)[C@H](OC(C)=O)C(=O)[C@@]1([H])[C@H](C)C(=O)C=C[C@]21C)OC(C)=O)=C(/CC=C(C)C)C(O)=O,WMGXUPPNMLYHPN-GJIXPYCQSA-N,WMGXUPPNMLYHPN,helvolic acid,C33H44O8
803,BGC0000007,Aspergillus flavus,5059,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,XWIYFDMXXLINPU-UHFFFAOYSA-N,XWIYFDMXXLINPU,aflatoxin,C17H12O7
804,BGC0000958,Streptomyces sp. S4,889487,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,UIFFUZWRFRDZJC-SBOOETFBSA-N,UIFFUZWRFRDZJC,antimycin,C28H40N2O9
805,BGC0001645,Streptomyces sp. NRRL S-118,1463881,C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(=O)N[C@H](C(=O)N1)CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)NCC(=O)N[C@@H](CC3=CN=CN3)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O)CO)CCC(=O)N,ZTQPYZKGVGYZEI-MIHBLRRSSA-N,ZTQPYZKGVGYZEI,lagmysin,C67H109N19O21
